ObjType	UniqueId	Name	Description	XSigned	XLSBFirst	XOffsetInt	XOffsetHex	XSizeInBits	XAddrStep	XUnits	XOutputType	XEquation	XPrecision	XRangeLow	XRangeHigh	YSigned	YLSBFirst	YOffsetInt	YOffsetHex	YSizeInBits	YAddrStep	YUnits	YOutputType	YEquation	YPrecision	YRangeLow	YRangeHigh	ZSigned	ZLSBFirst	ZOffsetInt	ZOffsetHex	ZSizeInBits	ZUnits	ZOutputType	ZEquation	ZPrecision	ZRangeLow	ZRangeHigh	BitNumber	BitMask	RowCount	ColCount	IndexCount
		GR_DS_TV 	 Desired gear used to compute EPC pressure.																																								
		NEBART 	 Filtered engine RPM for transmission.																																								
		RATCH 	" Closed throttle position, counts."																																								
		SPD_RATIO 	 Speed ratio across the torque converter.																																								
		TP 	" Throttle Position, counts."																																								
		TPBARTV 	" Filtered TP for TV strategy.  This filtered  throttle  position is  calculated  using  the  ROLAV  subroutine,  but with a different time constant then the values used in the TPBART and TPBARTC calculation. TPBARTV is used in the  TV  routine  to  determine  a  tip-in  condition. During a tip-in condition in the TV routine, extra TV is added."																																								
		TP_REL 	" Relative Throttle Position, TP - RATCH."																																								
		TP_STRT_SFT 	" TP_REL at the start of a shift, counts."																																								
		TQ_IALPHA 	 I-ALPHA torque due to ratio change.																																								
		TQ_NET 	 Net torque into torque converter.																																								
		TQ_STAT_CAP 	 Static Capacity Torque of transmission.																																								
		TR_STRT_SFT 	 Torque ratio at the start of a shift.																																								
		TV_DYN 	 TV pressure required for dynamic shift control.																																								
		TV_PRES 	 TV pressure.																																								
		TV_STAT 	 TV pressure required for static capacity.																																								
		TV_ST_SFT 	 Static TV pressure while shifting.																																								
		AETV 	 Anticipatory TV adder for heavy tip-ins.																																								
		AETVTP 	 Minimum throttle change to include AETV in TV_STAT.																																								
		EPC_TQMAX 	 Maximum clip on torque converter static capacity EPC pressure requirement.																																								
		FN617(SPD_RATIO) 	 Torque converter torque ratio.																																								
		MUSLP  	   Torque   converter   coefficient   of   friction   temperature compensation; slope.																																								
		MUINT  	   Torque   converter   coefficient   of   friction   temperature compensation; intercept.																																								
		SCINT1 	" Static capacity TV intercept, first gear."																																								
		SCINT2 	" Static capacity TV intercept, second gear."																																								
		SCINT3 	" Static capacity TV intercept, third gear."																																								
		SCINT4 	" Static capacity TV intercept, fourth gear."																																								
		SCSLP1 	" Static capacity TV slope, first gear."																																								
		SCSLP1SD 	" Static capacity TV slope, downshift to first gear."																																								
		SCSLP2 	" Static capacity TV slope, second gear."																																								
		SCSLP2SD 	" Static capacity TV slope, downshift to second gear."																																								
		SCSLP2SU 	" Static capacity TV slope, upshift to second gear."																																								
		SCSLP3 	" Static capacity TV slope, third gear."																																								
		SCSLP3SD 	" Static capacity TV slope, downshift to third gear."																																								
		SCSLP3SU 	" Static capacity TV slope, upshift to third gear."																																								
		SCSLP4 	" Static capacity TV slope, fourth gear."																																								
		SCSLP4SU 	" Static capacity TV slope, upshift to fourth gear."																																								
		TQCONVINT 	 Static capacity EPC intercept for the torque converter.																																								
		TQCONVSLP 	 Static capacity EPC slope for the torque converter.																																								
		TQIA12 	 I-ALPHA torque constant for 1 - 2.																																								
		TQIA21 	 I-ALPHA torque constant for 2 - 1.																																								
		TQIA23 	 I-ALPHA torque constant for 2 - 3.																																								
		TQIA32 	 I-ALPHA torque constant for 3 - 2.																																								
		TQIA34 	 I-ALPHA torque constant for 3 - 4.																																								
		TQIA43 	 I-ALPHA torque constant for 4 - 3.																																								
		FN12CA 	" Time dependent Dynamic EPC pressure adder for 1-2 shift, psi."																																								
		FN12_DC 	 Dynamic TV pressure for 1-2 shift.																																								
		FN21_DC 	 Dynamic TV pressure for 2-1 shift.																																								
		FN23CA 	" Time dependent Dynamic EPC pressure adder for 1-2 shift, psi."																																								
		FN23_DC 	 Dynamic TV pressure for 2-3 shift.																																								
		FN32_DC 	 Dynamic TV pressure for 3-2 shift.																																								
		FN34CA 	" Time dependent Dynamic EPC pressure adder for 3-4 shift, psi."																																								
		FN34_DC 	 Dynamic TV pressure for 3-4 shift.																																								
		FN43_DC 	 Dynamic TV pressure for 4-3 shift.																																								
		SW_DYN 	" Software switch for dynamic TV; 0 ->  allow  shift  dynamics  to vary with rpm, 1 -> use rpm at start of shift."																																								
		TMTVRMP_12 	 TV ramp time for 1-2 shift.																																								
		TMTVRMP_23 	 TV ramp time for 2-3 shift.																																								
		TMTVRMP_34 	 TV ramp time for 3-4 shift.																																								
		TOTTV5 	 Maximum TOT to adjust TV_DYN for cold accum.																																								
		TV_4L_12 	 Dynamic TV adder for 1-2 shift in 4x4L.																																								
		TV_4L_21 	 Dynamic TV adder for 2-1 shift in 4x4L.																																								
		TV_4L_23 	 Dynamic TV adder for 2-3 shift in 4x4L.																																								
		TV_4L_32 	 Dynamic TV adder for 3-2 shift in 4x4L.																																								
		TV_4L_34 	 Dynamic TV adder for 3-4 shift in 4x4L.																																								
		TV_4L_43 	 Dynamic TV adder for 4-3 shift in 4x4L.																																								
		TVRMP_12 	 TV adder during 1-2 upshift.																																								
		TVRMP_23 	 TV adder during 2-3 upshift.																																								
		TVRMP_34 	 TV adder during 3-4 upshift.																																								
		ETV_BIAS 	" ETVOCM voltage at 10 volts VBAT and 0  counts  commanded  ETV, counts."																																								
		ETV_GAIN 	" ETVOCM gain per one count of commanded ETV, counts/count."																																								
		ETV_GAIN_BAT 	" ETVOCM count gain per one battery volt, counts/volt."																																								
		TV_SLT_TM 	" Minimum time after a significant change in  TV_COUNTS  before performing  the  current  monitor  test.   Used  to  allow ETV current to stabilize before measurement, sec."																																								
		TVCDLT 	" Minimum  change  in  TV_COUNTS  from  previous  value  to  reset TM_TV_SS, counts."																																								
		C657LVL 	 Threshold for Transmission overtemperature fault.																																								
		C657UP 	 Transmission overtemperature fault up-count.																																								
		TOT_OTEMP 	 Temperature  above  which  the  Transmission  overtemperature fault filter is called.																																								
		HYS_OTEMP 	 Delta Temperature below which the Transmission is  considered no the be overtemperature.																																								
		SW_MLK 	" Switch for manual  converter  clutch  control;  0  ->  automatic converter  clutch control, 1 -> unconditional converter clutch lock-up, 2 -> unconditional converter clutch unlock."																																								
		BPUNMH 	 Hysteresis for BPUNMN.																																								
		BPUNMN 	 Minimum BP to unlock converter clutch.																																								
		BRKDLY 	 Brake relock delay.																																								
		CTDLY 	 Closed throttle relock delay.																																								
		D21DLY 	 Unlocked 2 -> 1 shift relock delay.																																								
		D32DLY 	 Unlocked 3 -> 2 shift relock delay.																																								
		D43DLY 	 Unlocked 4 -> 3 shift relock delay.																																								
		LUDLY 	 High altitude/cold engine relock delay.																																								
		NELUMN 	 Minimum NEBART to lock-up converter clutch.																																								
		PRNDLY 	 PRNDL relock delay.																																								
		SW_MLK 	" Switch for manual converter clutch control; 0 -> automatic converter clutch control, 1 -> unconditional converter clutch lock-up, 2 -> unconditional converter clutch unlock."																																								
		TMCTDY 	 Minimum time before relock at closed throttle.																																								
		TPUNBRK 	 Maximum relative TP for brake applied unlock.																																								
		TPUNCH 	 Hysteresis for TPUNCT.																																								
		TPUNCT 	 Maximum relative TP for closed throttle unlock.																																								
		TPUNTR 	 Relative TP breakpoint for high and low unlock throttle rate.																																								
		TRADLY 	" High throttle rate, accel, relock delay."																																								
		TRDDLY 	" High throttle rate, decel, relock delay."																																								
		TRUHAC 	" Throttle rate unlock, high TP, accel."																																								
		TRULAC 	" Throttle rate unlock, low TP, accel."																																								
		TRUHDC 	" Throttle rate unlock, high TP, decel."																																								
		TRULDC 	" Throttle rate unlock, low TP, decel."																																								
		U12DLY 	 Unlocked 1 -> 2 shift relock delay.																																								
		U23DLY 	 Unlocked 2 -> 3 shift relock delay.																																								
		U34DLY 	 Unlocked 3 -> 4 shift relock delay.																																								
		VSCTDY 	 Minimum vehicle speed for closed throttle relock.																																								
		TMDNLK 	" Time for converter clutch relock after commanded downshift, sec."																																								
		FN2LK 	 Speed ratio delta to relock on upshift to 2nd gear.																																								
		FN2ULK 	 Speed ratio delta to unlock on usphift to 2nd gear.																																								
		FN3LK 	 Speed ratio delta to relock on upshift to 3rd gear.																																								
		FN3ULK 	 Speed ratio delta to unlock on usphift to 3rd gear.																																								
		FN4LK 	 Speed ratio delta to relock on upshift to 4th gear.																																								
		FN4ULK 	 Speed ratio delta to unlock on usphift to 4th gear.																																								
		PUL_PER_REV 	 Pulses per revolution. Number of PIPs per engine revolution for E4OD gas; 1/2 the number of fuel pump teeth for E4OD_DIESEL.																																								
		SRLK2 	 Minimum speed ratio for scheduled 2nd gear lockup.																																								
		SRLK3 	 Minimum speed ratio for scheduled 3rd gear lockup.																																								
		SRLK4 	 Minimum speed ratio for scheduled 4th gear lockup.																																								
		TMLFN2 	" Power off upshift to 2nd relock time, sec."																																								
		TMLFN3 	" Power off upshift to 3rd relock time, sec."																																								
		TMLFN4 	" Power off upshift to 4th relock time, sec."																																								
		TMLFW2 	" Power off WOT upshift to 2nd relock time, sec."																																								
		TMLFW3 	" Power off WOT upshift to 3rd relock time, sec."																																								
		TMLFW4 	" Power off WOT upshift to 4th relock time, sec."																																								
		TMLON2 	" Power on upshift to 2nd relock time, sec."																																								
		TMLON3 	" Power on upshift to 3rd relock time, sec."																																								
		TMLON4 	" Power on upshift to 4th relock time, sec."																																								
		TMLOW2 	" Power on WOT upshift to 2nd relock time, sec."																																								
		TMLOW3 	" Power on WOT upshift to 3rd relock time, sec."																																								
		TMLOW4 	" Power on WOT upshift to 4th relock time, sec."																																								
		TMUFN2 	" Power off upshift to 2nd unlock time, sec."																																								
		TMUFN3 	" Power off upshift to 3rd unlock time, sec."																																								
		TMUFN4 	" Power off upshift to 4th unlock time, sec."																																								
		TMUFW3 	" Power off WOT upshift to 3rd unlock time, sec."																																								
		TMUFW4 	" Power off WOT upshift to 4th unlock time, sec."																																								
		TMUOW3 	" Power on WOT upshift to 3rd unlock time, sec."																																								
		TMUOW4 	" Power on WOT upshift to 4th unlock time, sec."																																								
		TM_ACT_SFT 	 Re-lock delay time after a tip-in.																																								
		UP_TIP_RATE 	 Tip-in rate above which FLG_TIP_RATE is set.																																								
		ALTDLY 	" Time to delay scheduled lockups at intermediate altitudes, sec."																																								
		BPUNMX 	" Maximum BP altitude unlock delay, "" Hg."																																								
		CRVDLY 	" Time to  delay  scheduled  lockups  after  STEADYSRLK1  throttle achieved, sec."																																								
		FN2LA(TP_REL_H) 	" Delta vehicle speed for 2nd gear  lockup  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN2LS(TP_REL_H) 	" Vehicle speed for 2nd gear lockup at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN2UA(TP_REL_H) 	" Delta Vehicle speed for 2nd gear  unlock  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN2US(TP_REL_H) 	" Vehicle speed for 2nd gear unlock at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN3LA(TP_REL_H) 	" Delta vehicle speed for 3rd gear  lockup  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN3LS(TP_REL_H) 	" Vehicle speed for 3rd gear lockup at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN3UA(TP_REL_H) 	" Delta Vehicle speed for 3rd gear  unlock  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN3US(TP_REL_H) 	" Vehicle speed for 3rd gear unlock at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN4LA(TP_REL_H) 	" Delta vehicle speed for 4th gear  lockup  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN4LS(TP_REL_H) 	" Vehicle speed for 4th gear lockup at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN4UA(TP_REL_H) 	" Delta Vehicle speed for 4th gear  unlock  at  altitude: Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		FN4US(TP_REL_H) 	" Vehicle speed for 4th gear unlock at sea level:   Input TP_REL_H, counts; Output vehicle speed, MPH."																																								
		SW_RLK  	"  Closed  throttle/brake  hysteresis  switch;  0  ->  unlock  in hysteresis zone, 1 -> remain locked in hysteresis zone."																																								
		NELKWH 	" Hysteresis for NELKWOd, RPM."																																								
		NELKWO 	" Minimum RPM for converter clutch WOT lockup, RPM."																																								
		RTLKWO 	 Minimum speed ratio for 1st gear WOT converter clutch lockup.																																								
		RTLKWH 	 Hysteresis for RTLKWO.																																								
		TPLKWO 	" Minimum TP for converter clutch WOT lockup, counts."																																								
		TPLKWH 	" TPLKWO hysteresis for converter clutch WOT lockup, counts."																																								
		PUL_PER_REV  	  Pulses  per  revolution.   Number  of  PIPs  per   engine revolution  for  E4OD  gas;  1/2  the  number  of  fuel  pump  teeth  for E4OD_DIESEL.																																								
		CCE_TPMN 	 Minimum TP required to do converter clutch validation logic.																																								
		CC_FM_LVL 	 number of warm up cycles converter clutch failure mode action will be executed after a fault is detected.																																								
		NOV_ERR_BAND 	 Error band allowed on the N/V calculation.																																								
		NVBASE 	 Base N/V.																																								
		TMCSE2 	" Time for coast clutch to engage, PDL = 2 or 1."																																								
		TMCSE3 	" Time for coast clutch to engage, PDL = 3."																																								
		TMCSOD 	 Time to delay coast clutch when PDL = 3.																																								
		FN689L(TP_REL) 	" Engine Speed to lock converter when TP sensor  is  still available, for Failure Mode Management, RPM."																																								
		NELK_FM 	" Engine Speed to lock converter when TP sensor has  failed,  for Failure Mode Management, RPM."																																								
		SRLK_FM 	 Speed Ratio to lock converter for Failure Mode Management.																																								
		CC_ERR_SW 	" Calibration selection switch to enable/disable flashing  TCIL for converter clutch error; 0 -> disable, 1 -> enable."																																								
		EPC_ERR_SW 	" Calibration selection switch to enable/disable flashing TCIL for EPC open circuit error; 0 -> disable, 1 -> enable."																																								
		PDL_ERR_SW 	" Calibration selection switch to enable/disable flashing TCIL for PRNDL error; 0 -> disable, 1 -> enable."																																								
		MAP_ERR_SW 	" Calibration selection switch to enable/disable flashing TCIL for MAP sensor failure; 0 -> disable, 1 -> enable."																																								
		OTEMP_ERR_SW 	" Calibration selection switch  to  enable/disable  flashing TCIL  for  Transmission  overtemperature  condition;  0  -> disable, 1 -> enable."																																								
		SFT_ERR_SW 	" Calibration selection switch to enable/disable flashing TCIL for Shift Errors; 0 -> disable, 1 -> enable."																																								
		TCILTM1 	" Flashing TCIL ""ON""/""OFF"" time period, sec."																																								
		TCIL_TM_DLY 	" Time after fault has occurred before  the  TCIL  begins  to flash, sec.  Set to 31.875 to disable flashing."																																								
		TP_ERR_SW 	" Calibration selection switch to enable/disable flashing  TCIL for TP sensor failure; 0 -> disable, 1 -> enable."																																								
		VS_ERR_SW 	" Calibration selection switch to enable/disable flashing  TCIL for VS Sensor failure; 0 -> disable, 1 -> enable."																																								
		FN034A(LOAD) 	 LOAD normalizing function  for  torque  calculation  table lookups.																																								
		FN070C(N) 	 Engine speed  normalizing  function  for  torque  calculation table lookups.																																								
		FN618(N_BYTE) 	" Accessory load torque, less A/C load, ft-lb."																																								
		FN619(N_BYTE) 	" Air conditioning compressor load torque, ft-lb."																																								
		FN621(SPK_DELTA) 	 Indicated torque  table  (FN1615A)  multiplier  versus SPK_DELTA.																																								
		FN623(LAMBSE) 	 Fuel multiplier used to calculate TQ_NET in open loop.																																								
		FN730(SPK_LAMBSE) 	 Required adjustment to the base  spark  in  order  to maintain MBT as the air/fuel ratio changes.																																								
		FN1615A 	" Indicated engine torque at MBT spark and no EGR, ft-lb.           x = FN070C(N) = Normalized engine rpm.            y = FN034A(LOAD) = Normalized LOAD."																																								
		FN1616 	" Engine friction torque, ft-lb.          x = FN070C(N) = Normalized engine rpm.          y = FN034A(LOAD) = Normalized LOAD."																																								
		FN1617 	" MBT spark advance with no EGR, deg BTDC.          x = FN070C(N) = Normalized engine rpm.          y = FN034A(LOAD) = Normalized LOAD."																																								
		MBTEGR 	" Number of degrees MBT spark increases per percent EGR, deg/_%."																																								
		SARCHG 	 Standard Aircharge = 4.4256E-05 * CID /  of cylinders.																																								
		TCTTA 	 Time constant for torque truncation aircharge filtering.																																								
		PIPFIL 	" Filter constant factor for DT12S_AVE, unitless."																																								
		TCNE 	 Time constant for filtered RPM.																																								
		TCTPTC 	 Time constant for filtered TP for converter clutch.																																								
		TCTPTE 	 Time constant for filtered TP.																																								
		TCTPTV 	 Time constant for filtered TP for TV pressure.																																								
		TCVST 	 Time constant for vehicle speed filter.																																								
		TMTCS 	" Transmission Control switch residence time, sec."																																								
		TM4X4L 	 4 X 4 low switch residence time.																																								
		NOVCNT 	 Minimum number of good NOV samples to update KAM.																																								
		NOVDIF 	 Maximum difference between NOV samples.																																								
		RT4X4L 	 4X4 low transfer case ratio.																																								
		RTNVMN 	 Minimum valid RT_NOVS_KAM.																																								
		RTNVMX 	 Maximum valid RT_NOVS_KAM.																																								
		TMNVCAL 	 Time between consecutive NOV_ACT calculations.																																								
		TMNVLK 	" Time delay after converter clutch commanded on  before  allowing NOV_ACT calculation, seconds."																																								
		ERR_BAN_4X4L 	 Maximum allowed deviation between rt_novs_kam and  rt_novs actual in 4x4L.																																								
		AEDLMP 	 Minimum change in MAP to indicate manifold filling (in.  Hg)																																								
		BIHP 	" Calibration switch which determines if a brake  on/off  switch  is present.   1 -> Brake on/off switch present, 0 -> Brake on/off switch not present."																																								
		FN004 	 Corrected BP as a function of actual BP.																																								
		FN074A 	 Exhaust  pressure  as  a  function  of  AM.   FN074A  should  be corrected to sea level when mapping the data.																																								
		FN093 	 Time constant for TAPBAR.																																								
		FN394F 	 Time delay before recognition of N/D transition - Forward.																																								
		KSF  	  Keypower  Scaling  Factor;  a  calibration  constant  which   has historically  been  3.731; this value can be changed on VECTOR to satisfy the requirements of different  processors;  a  newer  value  for  KSF  is 5.5991;  the  user  should  check  with the EEC Design Group to determine which value for KSF is applicable to a specific processor level.																																								
		MAXAET 	 Maximum time before turning off AE.																																								
		MAXTTM 	"  Maximum  time  delay  before  updating  OLDTP  (150  msec,  not calibratable)."																																								
		MPGLSW 	" MPG mode converter clutch development switch; 1 -> enable TRANSW logic, 0 -> disable TRANSW logic."																																								
		NDDELT 	" Time before N/D, D/N switch registers."																																								
		RACHIV 	" RATCH, TPBAR AND TBART initialization value."																																								
		SMTPDL 	 Deadband for stable TP - AETP (counts).																																								
		TCAEMP 	 Time constant for AEMP.																																								
		TCEGR 	 Time constant for EGRBAR.																																								
		TCMBAR 	 Time constant for MAP.																																								
		TCN 	 Time constant for N.																																								
		TCNDT_ISC 	 Time constant for DNDT_ISC.																																								
		TCNDT_SPK 	 Time constant for DNDT_SPK.																																								
		TCTP 	 Time constant for TPBAR.																																								
		TCTPDL 	 Time constant for TPDLBR.																																								
		TCVBAT 	 VBAT time constant.  ..Typical value - 0.1 seconds.																																								
		TCVS 	 Time constant for VS.																																								
		TPDLTA 	 Minimum TP change for tip-out.																																								
		TRLOAD 	 Transmission Load Switch.																																								
		TSTRAT 	" Transmission Strategy Switch; 0 -> no transmission control (man, AOD, ATX, etc.), 1 -> Shift Indicator."																																								
		VCAL 	 The value is normally 2.5 volts; this  value  can  be  changed  on VECTOR to satisfy the requirements of certain processors.																																								
		VSCNT 	 Increment to VSCTR when VS changes unrealistically.																																								
		VSDELT 	 Maximum realistic change in  vehicle  speed  in  one  background loop.																																								
		VSTYPE 	" Integrated vehicle speed/cruise control system present switch; 0 -> no MPH and no VSC, 1 -> MPH and no VSC."																																								
		CNTVSRATE 	 Number of background loops between VSRATE calculations.																																								
		TCVSRPH 	 Time constant for vehicle acceleration for  Powertrain  Hunting prevention.																																								
		FN095(TP_REL) 	" Provides reasonable engine load value if  MAP  sensor  is faulty.  Input:  TP - RATCH, counts; Output:  MAP, in Hg."																																								
		LONG_MAP_RQD 	 1 = Request long MAP avg.  at WOT.  MAP is in progress.																																								
		MAPBK1 	 Point of intersection of the first two line segments  describing MAP function (frequency versus inches).																																								
		MAPBK2 	 Point of intersection of the  second  and  third  line  segments describing the MAP function (frequency versus inches).																																								
		MAPBK3  	  Point  of  intersection  of  the  third  and  fourth  segments describing the MAP function (frequency versus inches).																																								
		MAPBK4 	 Point of intersection of fourth and  fifth  segments  describing the MAP function (frequency versus inches).																																								
		MAPBK5 	 Point of intersection of the fifth and sixth segments describing the MAP function (frequency versus inches).																																								
		MAPEDG 	 Minimum number of SCAP edges to calculate a MAP value.																																								
		MAPFMM 	 Value that MAP is set equal to if both SCAP and TP sensors fail.																																								
		MAX_SCAP_EDGES 	 Maximum number of SCAP edges to calculate a MAP value.																																								
		OFSET1 	 Offset for the first linear equation describing MAP as  function of frequency and inches of Hg.																																								
		OFSET2 	 Offset for the  second  linear  equation  describing  MAP  as  a function of frequency and inches of Hg.																																								
		OFSET3 	 Offset for  the  third  linear  equation  describing  MAP  as  a function of frequency and inches of Hg.																																								
		OFSET4 	 Offset for the  fourth  linear  equation  describing  MAP  as  a function of frequency and inches of Hg.																																								
		OFSET5 	 Offset for  the  fifth  linear  equation  describing  MAP  as  a function of frequency and inches of Hg.																																								
		OFSET6 	 Offset for  the  sixth  linear  equation  describing  MAP  as  a function of frequency and inches of Hg.																																								
		SLOPE1 	 Slope for the first linear equation for MAP.																																								
		SLOPE2 	 Slope for the second linear equation for MAP.																																								
		SLOPE3 	 Slope for the third linear equation for MAP.																																								
		SLOPE4 	 Slope for the fourth linear equation for MAP.																																								
		SLOPE5 	 Slope for the fifth linear equation for MAP.																																								
		SLOPE6 	 Slope for the sixth linear equation for MAP.																																								
		TCMAPW 	 Time constant to use in rolling average routine for MAP_WORD.																																								
		VMPMAX 	 Maximum amount of  time  to  wait  for  next  SCAP  edge  before deciding sensor has failed.																																								
		ENGCYL 	 Number of PIPs (or injections) per revolution.																																								
		STALLN 	 Stall rpm; If the first rpm  calculated  is  greater  than  this value assume that there was a re-init.																																								
		BASEMD 	 0.0234393 * Engine Displacement in Liters (lbm - deg R/in.  Hg - rev).																																								
		FN004(BP) 	 Empirical correction  to  PEXH  for  altitude  with  input  a function of barometric pressure.																																								
		FN074A(AM) 	 Exhaust pressure as a function of air flow.   NOTE:   FN074A should  be  corrected  to  sea  level  when  mapping  the data.  [Exhaust Pressure (Gauge) * BP / 29.875]																																								
		FN305(ACT) 	  Multiplier  of  air  mass  as  a  function  of  Air  Charge Temperature in degrees Fahrenheit.																																								
		FN326(ECT) 	 Multiplier of air mass  as  a  function  of  Engine  Coolant Temperature in degrees Fahrenheit.																																								
		FN405(ACT) 	"  Multiplier  of  air  mass  as  a  function  of  Air  Charge Temperature, degree F."																																								
		"FN1320(NORM_N070,NORM_MAPOPE21) "	" TABLVF is a 10 x 10 table of volumetric efficiency   multipliers  for  air  mass  as  a  function  of  NORM_N070, normalized engine speed, and NORM_MAPOPE21, normalized MAPOPE."																																								
		"FN1420(NORM_N070,NORM_MAPOPE21) "	" 10 x 10 table of volumetric  efficiency multipliers  for  air mass as a function of NORM_N070, and NORM_MAPOPE21, normalized MAPOPE."																																								
		KVEFF 	 AMPEM and AMPEMT multiplier.																																								
		ECTMAX 	" Maximum valid A/D value for ECT sensor, counts."																																								
		ECTMIN 	" Minimum valid A/D value for ECT sensor, counts."																																								
		FN703(IECT) 	 Transfer function for ECT sensor.																																								
		TKYON2 	" Time at which  BPKYON,  TCSTRT,  &  ACSTRT  updates  begin  (NOT calibratable)."																																								
		TOTMAX 	 Maximum allowable Transmission Oil Temperature counts.																																								
		TOTMIN 	 Minimum allowable Transmission Oil Temperature counts.																																								
		DELTAT 	 Part throttle to closed throttle breakpoint for Power mode.																																								
		HYSTSPD 	 Hysteresis for SPD_PM for FMEM Power mode.																																								
		HYSTST 	 Hysteresis for DELTAT for Power Mode.																																								
		SPD_PM 	 Minimum Speed Ratio for Power-Off mode.																																								
		CD_TVENG_TM 	" Maximum time since the first transmission engagement to use TVEMAX engagement TV, sec."																																								
		TOTTV1 	" Maximum TOT to use TVCHRG for start-up, deg F."																																								
		TOTTV2 	" Minimum ECT to use TVEMAX engagement TV, deg F."																																								
		TOTTV3 	" Minimum ECT to use TVEMOD engagement TV, deg F."																																								
		TOTTV4 	 The maximum temperature where it is no longer necessary  to  add dynamic TV due to the accumulator sticking.																																								
		CS_MAX_TIME 	 Maximum time allowed in cold start shift schedules.																																								
		CS_MUL 	 Cold Start Multiplier.																																								
		FN690(INIT_TOT)  	  Temperature  required  to  leave  cold  start   shift schedules.																																								
		OFM_MUL 	 Shift schedule multiplier for ETV solenoid overcurrent.																																								
		FMMMLP 	 IPDL value when PDL_ERROR is present.																																								
		MAN1HI 	 MLPS manual 1 position band high limit.																																								
		MAN1LO 	 MLPS manual 1 position band low limit.																																								
		MLPS_2 	" IPDL value when MLPS is in the second to  last  position;  2  -> Manual  2  has  been  selected  (TCS  present), 3 -> Drive mode/Overdrive cancel has been selected (no TCS present)."																																								
		MLPS_2HI 	 MLPS second to last position band high limit.																																								
		MLPS_2LO 	 MLPS second to last position band low limit.																																								
		NEUHI 	 MLPS neutral position band high limit.																																								
		NEULO 	 MLPS neutral position band low limit.																																								
		ODHI 	 MLPS overdrive position band high limit.																																								
		ODLO 	 MLPS overdrive position band low limit.																																								
		PARKHI 	 MLPS park position band high limit.																																								
		PARKLO 	 MLPS park position band low limit.																																								
		PDLTIM 	 PRNDL load residence time.																																								
		REVHI 	 MLPS reverse postion band high limit.																																								
		REVLO 	 MLPS reverse position band low limit.																																								
		AFECT1 	 Min. ECT for starting the adaptive fuel timer																																								
		AFECT2 	 Overtemp. ECT to disable adaptive learning																																								
		BYRPM 	 Maximum RPM for closed throttle bypass.																																								
		BYRPMH 	 Hysteresis for BYRPM.																																								
		CHGTM 	" Time delay after leaving closed throttle to permit VOLTMR to decrement, sec."																																								
		CRKCTR_RESET 	 CRKPIP_CTR reset switch; 1 -> reset CRKPIP_CTR upon stall.																																								
		CRKPIPCNT2 	" CRKPIP_CTR reset value for UNDERSPEED to CRANK transitions, sec."																																								
		CRKTM1 	" Time in RUN or UNDERSPEED below which CRKPIP_CTR is reset to CRKPIPCNT2, sec."																																								
		CRKTMR_INC 	 Calibration switch which determines whether CRKPIP_CTR counts when the engine state is out of CRANK.																																								
		DASCTL 	 Lower daspot limit to allow RPM control (PPM).																																								
		EGRTD7 	 Time delay to ramp EGR turn on.																																								
		FN900(VSBAR) 	 Time delay before enabling MPG Mode as a function of vehicle speed. NOTE: Vehicle Speed is always ZERO if a Vehicle Speed Sensor is not present. 																																								
		FN1360 	 Stabilized Open Loop Fuel 8 X 10 table of lambda values as a  function of N and PERLOAD.																																								
		HIMAPF 	 Highest MAP that allows BYPTMR to count down.																																								
		HMUMAP 	 A calibratable minimum MAPPA to increment HMUTMR for upstream air.																																								
		HMUMPH 	 HMUMAP hysteresis term.																																								
		IDLRPM 	" Max RPM for closed throttle mode idle, RPM."																																								
		IDRPMH 	" Hysteresis for IDLRPM, RPM."																																								
		ISCTM 	 Pacing to evaluate rate of change of engine speed.																																								
		LAMRICH 	 Minimum lambse value for enrichment.																																								
		LESTM 	 Time delay before forced open loop fuel after last ego switch  (seconds).																																								
		LMBMAP 	 Minimum decel MAP to increment LMBTMR.																																								
		LOMAPF 	 Lowest MAP that allows BYPTMR to count up.																																								
		LOWVOL 	" System voltage level, below which the battery is discharging, volts."																																								
		MAPAHI 	" Maximum MAPPA value for MPG mode, unitless. "																																								
		MAPLO 	" Minimum MAP value for MPG mode, in. Hg. "																																								
		MAPLOH 	" Hysteresis for MAPLO, in. Hg. "																																								
		MAXTIM 	 Maximum time to wait for TAR change on SW TAR.																																								
		MPAHIH 	" Hysteresis for MAPAHI, unitless. "																																								
		MPGCTH 	" Maximum ECT for Fuel Economy Mode, deg F. "																																								
